ds,кластер1,кластер2,кластер3,кластер4,кластер5,кластер6
2019-01-01,299036,1493286,11268577,50492,18596,599268
2019-01-02,228190,818971,8629779,57169,25282,952299
2019-01-03,297875,734393,7828308,61336,25863,1176552
2019-01-04,211296,742071,7542338,64927,27730,1304149
2019-01-05,270611,828797,7618576,62939,27709,1419539
2019-01-06,251068,2272403,7979191,59018,26518,1458773
2019-01-07,140426,1933708,8639727,58985,29211,1758868
2019-01-08,165484,793617,7917730,69446,34060,2835752
2019-01-09,228712,893267,7472353,78961,46477,4534129
2019-01-10,153253,905563,7620698,76684,49537,5503916
2019-01-11,184170,996081,8369846,69689,48361,3871140
2019-01-12,220109,942344,9261581,58465,36939,3066313
2019-01-13,357625,1669997,8670153,62650,36803,5411893
2019-01-14,164481,952308,7699836,78022,53328,8317188
2019-01-15,153549,913109,7661132,77245,54419,8917964
2019-01-16,202314,902803,7831543,76952,55098,9093149
2019-01-17,265301,946314,8017197,74514,54288,8744798
2019-01-18,178927,1763653,8651839,69544,48447,5231738
2019-01-19,324138,1752051,9742690,57945,37606,3528086
2019-01-20,504300,854858,8964583,68699,40303,6745365
2019-01-21,318850,1093622,7940138,87071,56640,9291461
2019-01-22,216785,952428,7952739,90969,55476,9258265
2019-01-23,224403,961721,8095988,109921,55581,9021318
2019-01-24,283080,1166682,8350125,111960,53638,8465461
2019-01-25,377500,2941124,9243480,93006,49306,5181189
2019-01-26,675372,886703,10030188,73392,38894,3570575
2019-01-27,1558017,947822,9181619,90985,42526,6412410
2019-01-28,455951,963313,8198262,117935,55998,8914763
2019-01-29,287046,979213,8158944,123752,56870,8957794
2019-01-30,336561,971445,8224518,129098,56864,8701211
2019-01-31,262975,1018271,8531980,159631,54249,8135619
2019-02-01,169471,1039022,9346125,174740,49945,5066432
2019-02-02,302899,900158,10183675,88981,39973,3499538
2019-02-03,506222,901983,9808914,95808,44144,5997513
2019-02-04,292625,1039536,8658898,123847,56585,8426103
2019-02-05,145154,1119170,8573135,125847,56806,8504586
2019-02-06,238841,1119516,8659192,115629,55819,8477700
2019-02-07,229030,1078142,8816069,111119,54690,8084207
2019-02-08,179412,1061878,9419145,92595,49403,5214961
2019-02-09,378731,984430,10207665,70777,39774,3699462
2019-02-10,513789,1025123,9429676,84046,44762,6330299
2019-02-11,240969,1116846,8435583,117192,57540,8924532
2019-02-12,243706,1184017,8475983,108086,56400,8321354
2019-02-13,275073,1590054,8495648,116574,54438,8346092
2019-02-14,269570,3585152,8800963,116151,49778,7875278
2019-02-15,182468,1334871,9473180,91985,47396,5339131
2019-02-16,314458,923221,10308555,67560,37720,3706625
2019-02-17,366345,1089855,9503611,73477,42028,6526464
2019-02-18,324330,1261113,8422639,99868,55393,8571332
2019-02-19,291828,1342645,8411138,89872,54201,8494854
2019-02-20,359706,1443569,8476827,87422,53384,8284282
2019-02-21,308830,1809885,8697271,84126,49936,7476083
2019-02-22,232297,2764744,9866406,70888,42005,3526680
2019-02-23,309085,5466937,10755290,55013,31466,2454015
2019-02-24,525770,1052635,9419700,63531,40087,6007801
2019-02-25,207442,1189698,8277146,77360,53940,8945967
2019-02-26,137679,1232160,8371767,79906,53743,9321707
2019-02-27,269068,1234998,8457783,82074,53151,9259451
2019-02-28,266853,1436084,8655170,79993,50083,8647968
2019-03-01,290772,1998597,9454535,69278,45456,5329795
2019-03-02,956695,1102193,10422789,56540,37208,3571290
2019-03-03,1167321,1394927,9687155,59828,40133,6506440
2019-03-04,391458,1953363,8644978,73217,51580,9122644
2019-03-05,404443,1648232,8686382,71692,51279,9023653
2019-03-06,411727,2002179,8725648,65750,46523,7730396
2019-03-07,587684,3940537,10008065,54047,36292,2816744
2019-03-08,213135,6284878,11110422,44976,26216,1472945
2019-03-09,366876,1083884,10019673,51507,33737,2726825
2019-03-10,823559,2857359,8996695,58528,37695,5650409
2019-03-11,299948,979361,7774813,74031,52725,9370839
2019-03-12,311372,962040,7807093,72736,54998,9779582
2019-03-13,553197,924226,7898249,73094,54041,9789398
2019-03-14,547570,940818,8114185,71566,52791,9323820
2019-03-15,370801,932068,9100404,70039,49299,5979844
2019-03-16,550061,821097,10221448,57612,39124,3939716
2019-03-17,1238658,841148,9573369,61794,41829,7017392
2019-03-18,282852,890868,8215603,83052,55272,10035657
2019-03-19,184389,958400,8204157,80646,55459,9831620
2019-03-20,182896,1119779,8115946,75459,53688,9100696
2019-03-21,429276,984712,8403684,76502,52695,7493746
2019-03-22,568005,925363,9185800,69267,48486,4095336
2019-03-23,324854,791326,10220149,54614,39131,2404756
2019-03-24,579457,806662,9431303,56583,42830,3031805
2019-03-25,259834,954304,8365307,70036,54309,4377576
2019-03-26,194403,902586,8318020,71006,55256,4518879
2019-03-27,119722,979571,8261515,72446,52873,4576935
2019-03-28,87255,885722,8429470,71643,51112,4489789
2019-03-29,171337,866954,9241178,68525,46325,3677399
2019-03-30,570293,778571,9750042,56448,37474,3095400
2019-03-31,717274,829592,8872450,61077,38904,5039773
2019-04-01,161623,1295882,7794520,75187,50774,8234140
2019-04-02,231899,891992,7903439,69485,53220,9365029
2019-04-03,374150,887188,7955900,71009,51100,9782086
2019-04-04,177413,892261,8207307,69157,50509,9387619
2019-04-05,181108,882277,8926085,62896,46855,5634641
2019-04-06,1363299,847853,9597115,52011,36300,3608380
2019-04-07,444229,1535289,9144157,56521,38756,6881230
2019-04-08,202513,894384,8010892,69009,52502,10186793
2019-04-09,288082,882245,7921732,70342,52808,9793153
2019-04-10,640345,937375,7976546,65222,50707,9836407
2019-04-11,299417,891985,8162539,72144,48333,9083562
2019-04-12,155863,1117688,9059967,63182,44483,5544497
2019-04-13,439934,762395,9811557,50908,34714,3760926
2019-04-14,1268078,840074,9323191,56832,38415,7050553
2019-04-15,333549,913077,8072391,68237,49222,10816109
2019-04-16,1128350,918629,8014765,78772,49228,10468164
2019-04-17,512342,934494,8063668,70173,48936,10355508
2019-04-18,290699,927889,8246437,70799,45606,9333010
2019-04-19,206127,932771,8882893,71369,40452,5624956
2019-04-20,1034690,1007779,9438197,58731,30077,3537270
2019-04-21,593233,2027225,8979505,60465,32865,6531768
2019-04-22,178085,943155,7767756,80417,44911,10204896
2019-04-23,166205,940778,7830247,70994,45485,9689239
2019-04-24,775961,961253,7769911,67146,43282,9382412
2019-04-25,439962,1373247,7778068,68750,40276,8195320
2019-04-26,171535,1002863,8547520,64123,37943,5081412
2019-04-27,309229,1386355,9084305,48670,26684,2800249
2019-04-28,707414,3323433,9761515,51117,30860,4693327
2019-04-29,337223,1044453,8262113,64284,42753,8029100
2019-04-30,178447,1206679,8705313,75446,39575,3904960
2019-05-01,277470,1802765,9174780,64259,31578,1777166
2019-05-02,232523,747229,8634376,59869,31058,2333477
2019-05-03,191510,756297,8397194,54968,31127,2565130
2019-05-04,688416,750539,8218135,51513,29374,2719316
2019-05-05,714277,1120217,7987263,61061,31845,5006527
2019-05-06,164970,984536,7312587,68858,39539,7787792
2019-05-07,290846,1101988,7713135,60694,40382,7448650
2019-05-08,366892,1241293,8378304,56783,36463,3820084
2019-05-09,277830,2088130,9403645,48019,22329,2166899
2019-05-10,484648,673145,8225055,44914,26352,3137549
2019-05-11,310540,710532,8158216,45303,27842,3057589
2019-05-12,843521,1122684,7945375,47975,30823,5830469
2019-05-13,568387,963081,7312168,60392,45136,9965732
2019-05-14,207436,1000233,7585419,62943,46434,9584645
2019-05-15,429239,1277182,7845665,60714,45723,9434595
2019-05-16,335301,1009080,8112369,60094,44780,9524711
2019-05-17,405258,976217,8909105,54655,41116,6370144
2019-05-18,819994,815807,9369061,43667,28555,3439260
2019-05-19,1560278,1043838,9489494,48254,32452,5725871
2019-05-20,491252,1093527,8050562,62622,46459,9026080
2019-05-21,539428,1162689,7889066,65597,47964,8113022
2019-05-22,455032,1365115,8028515,67283,46219,6474871
2019-05-23,1510086,1295775,8285724,62650,45490,4887235
2019-05-24,371600,1225549,9002849,54912,39702,3581925
2019-05-25,1247353,908810,9278230,49770,29775,2281083
2019-05-26,1073976,881055,8710835,50380,32671,3331801
2019-05-27,248157,1114502,7966178,59183,47707,4808289
2019-05-28,103561,1488826,7919888,59271,46832,4298137
2019-05-29,196617,1009884,7831678,57454,45211,3753146
2019-05-30,141046,985951,8004213,58115,44453,3111671
2019-05-31,102410,1080698,8687250,58273,39800,2323171
2019-06-01,404916,1357768,8771357,45620,28992,1581915
2019-06-02,441401,724540,8330713,48167,33220,2160517
2019-06-03,180871,959328,7763462,68399,47924,2796740
2019-06-04,128943,1173772,7974685,65994,48890,2689569
2019-06-05,131238,952835,7900320,59886,47055,2901529
2019-06-06,158749,1108652,7949707,58095,45306,2679750
2019-06-07,204858,883718,8568249,55897,41639,1936959
2019-06-08,475794,755551,8748861,44619,29576,1388644
2019-06-09,897241,953101,8172445,47689,33137,1694656
2019-06-10,319539,865903,7741792,58781,48604,2502780
2019-06-11,443393,889595,8182294,57195,45524,2041019
2019-06-12,243394,1448553,8356786,52776,36408,1565546
2019-06-13,131031,885874,8123011,65032,47138,2154049
2019-06-14,103758,995838,8804624,62617,43436,1765063
2019-06-15,138871,1026569,8899055,46292,32883,1155820
2019-06-16,198317,2385180,8539711,49116,35447,1311179
2019-06-17,100838,942451,7891743,62980,50868,1885894
2019-06-18,80372,898749,7893323,63290,49714,1877699
2019-06-19,81334,885942,7914419,71148,49044,1820584
2019-06-20,96833,896886,7949396,68631,45985,1726751
2019-06-21,87136,889780,8647548,65145,41632,1462024
2019-06-22,120108,709084,8702322,53228,29963,1043487
2019-06-23,254302,698555,8286430,52960,33397,1133095
2019-06-24,106302,850830,7850878,65651,48870,1637122
2019-06-25,87229,900870,7941603,78530,49665,1561934
2019-06-26,86277,877963,7996537,69235,48458,1517533
2019-06-27,94620,998587,8219568,68297,47090,1421904
2019-06-28,213124,882557,8757857,56596,42611,1132670
2019-06-29,150182,728844,9024874,45145,34717,756857
2019-06-30,212199,724864,8344422,46204,36432,782263
2019-07-01,91952,824250,7578246,57346,50875,1007000
2019-07-02,92273,811543,7648569,58913,52895,1007903
2019-07-03,165480,905438,7638561,62507,50689,972429
2019-07-04,98121,799072,7682625,60557,50336,929146
2019-07-05,83767,816822,8458664,53288,45536,821708
2019-07-06,184889,780468,8766418,42908,34909,609622
2019-07-07,416226,1043298,8193241,45109,36425,635750
2019-07-08,179178,1891693,7636738,56384,52421,865024
2019-07-09,85771,796631,7698962,86363,53491,889192
2019-07-10,70992,789968,7719122,55687,52037,908231
2019-07-11,69707,838903,7960645,53968,50625,893942
2019-07-12,223260,991694,8588598,53770,45597,813022
2019-07-13,254383,664392,8700996,41561,34294,585089
2019-07-14,676455,765483,8170536,42179,35695,610381
2019-07-15,249537,755779,7677197,55191,51306,885349
2019-07-16,71916,768582,7800195,56184,52828,920406
2019-07-17,66301,781824,7873051,55700,52295,910439
2019-07-18,63071,801159,7991845,55380,50061,883613
2019-07-19,86335,799563,8548432,51417,44718,788749
2019-07-20,627514,684026,8685528,41536,32936,558603
2019-07-21,581522,847413,8160587,43078,35031,591913
2019-07-22,139336,751371,7826041,53820,50845,857860
2019-07-23,174528,804308,7834956,54060,52435,893223
2019-07-24,208374,978223,7840690,55778,51057,862952
2019-07-25,143110,825472,7890715,56280,49360,817341
2019-07-26,152296,803739,8445785,52778,44264,717536
2019-07-27,373091,849757,8668293,43742,31798,538968
2019-07-28,495440,1166663,8191121,49591,33848,589308
2019-07-29,182535,784088,7745534,63557,53196,836030
2019-07-30,106955,1133734,7843044,64492,53479,866130
2019-07-31,105145,848342,7923229,64917,52149,898605
2019-08-01,95415,1036255,8086063,62331,49807,895159
2019-08-02,79959,1583391,8930198,60839,46788,815365
2019-08-03,681817,791535,8830012,56202,35298,612775
2019-08-04,529700,948852,8351540,53922,36714,656476
2019-08-05,142961,821682,7862973,65642,52480,926288
2019-08-06,108865,839641,7804816,68760,53991,934669
2019-08-07,208532,824579,7728999,62330,51967,912365
2019-08-08,179973,860589,7849990,60140,50355,891655
2019-08-09,167449,953834,8711063,56557,46190,840040
2019-08-10,527677,883062,8944158,49228,33727,628263
2019-08-11,1097155,1254487,8302686,52609,34959,649126
2019-08-12,197862,880659,7712225,67231,52285,921260
2019-08-13,759580,843420,7702164,59932,53137,967658
2019-08-14,308570,1260544,7709340,56423,51442,943840
2019-08-15,186604,817722,7732543,54713,47719,913635
2019-08-16,177443,851084,8554046,51454,44632,849321
2019-08-17,648399,712455,8908737,43551,33752,639277
2019-08-18,873558,788349,8274389,43884,34173,675703
2019-08-19,1249225,1377717,7744790,55599,49701,962158
2019-08-20,183793,828363,7760291,57690,50264,973965
2019-08-21,150374,850593,7812616,63952,48925,978364
2019-08-22,153986,853511,8053573,60841,47703,976885
2019-08-23,139800,827376,8720532,57083,42430,886427
2019-08-24,897216,722623,8986004,43764,30432,655688
2019-08-25,1049065,759744,8499770,44546,31807,742067
2019-08-26,266374,836320,8036431,57023,47002,1069375
2019-08-27,182564,884522,8074215,59838,46833,1125968
2019-08-28,135928,1147152,8083549,63899,47580,1133644
2019-08-29,177822,1026967,8132335,56916,44785,1120641
2019-08-30,232878,960746,8766177,55668,39619,1033455
2019-08-31,707070,944805,9035028,43683,29172,886032
2019-09-01,926596,1607214,8323841,44878,29780,1087184
2019-09-02,257462,1415595,7281248,54513,41529,2167229
2019-09-03,238928,845120,7520654,58173,46180,6276112
2019-09-04,264872,819484,7392452,62569,46712,7654181
2019-09-05,351291,844117,7710289,61566,44777,7572368
2019-09-06,921408,838686,8563470,58383,41236,3817338
2019-09-07,5053926,758928,9247011,45261,29786,2769787
2019-09-08,2853738,972426,8597494,50247,30805,5991674
2019-09-09,865003,880011,7679089,60739,46370,8992655
2019-09-10,506564,855010,7997611,60215,46595,9294094
2019-09-11,234208,889073,8059427,61636,47065,9340163
2019-09-12,200488,882036,8153856,64134,46156,8632498
2019-09-13,421868,1029102,9028567,63057,41177,4656037
2019-09-14,619938,776722,9701046,54440,30639,3158284
2019-09-15,509145,802845,9090927,58822,32137,6640714
2019-09-16,257711,880939,7924605,72858,45668,9482521
2019-09-17,563745,922443,7897258,70715,45859,9575936
2019-09-18,671515,935377,8037296,71448,44226,9483215
2019-09-19,315212,964320,8195884,67005,42567,8786524
2019-09-20,340581,963012,8934531,60506,40271,4965282
2019-09-21,535345,1097600,9655439,47754,29373,3413365
2019-09-22,835613,825682,9028851,51794,32880,6744447
2019-09-23,176596,953894,7892513,66105,44238,9665183
2019-09-24,234293,998403,7920732,67079,44654,9793162
2019-09-25,524000,1029594,8017652,67971,43314,9755878
2019-09-26,166392,1139225,8270576,64849,42074,9155211
2019-09-27,169017,1797236,9283496,61422,39352,5283785
2019-09-28,619161,894177,9834937,49168,29765,3591188
2019-09-29,661843,1101475,9187437,54173,32964,6949233
2019-09-30,291638,1707030,8152614,67379,45457,9923477
2019-10-01,515216,1415945,8245759,67859,45070,10013079
2019-10-02,560125,1139518,8324118,67004,44995,9916344
2019-10-03,312665,1298240,8591506,65793,44102,8210814
2019-10-04,157563,1877260,9851211,58041,41064,3961282
2019-10-05,424567,1849159,10313476,47495,30409,2900679
2019-10-06,1024434,904845,9509280,54235,33366,5902165
2019-10-07,208011,1039142,8222621,66451,46257,9314651
2019-10-08,122259,977477,8245926,67192,46712,9660756
2019-10-09,154392,982627,8468199,69585,46686,9769330
2019-10-10,377116,993169,8628051,68191,43741,9004113
2019-10-11,424690,1133489,9575857,61692,39792,5631309
2019-10-12,282667,867657,10349943,51713,30660,3841831
2019-10-13,637375,956706,9527407,54083,32931,7080965
2019-10-14,341667,1477936,8343732,68357,46394,10665249
2019-10-15,265403,982705,8339895,69809,45877,11007697
2019-10-16,133822,1037557,8525039,67102,45469,11094016
2019-10-17,122657,988584,8790883,66434,43616,10577460
2019-10-18,251183,1029063,9654343,60169,39942,6323060
2019-10-19,1248295,859012,10269458,49618,29424,4114589
2019-10-20,784946,1026767,9446063,52161,31347,7626061
2019-10-21,185097,969789,8343884,64937,45410,11355899
2019-10-22,380595,1000952,8385987,67039,45298,11401615
2019-10-23,439089,991032,8466131,71878,44224,10835853
2019-10-24,223002,1030823,8816211,75219,43161,9250335
2019-10-25,165950,1089959,9600769,65461,39385,4866783
2019-10-26,403113,1071330,10361379,52558,30003,2769830
2019-10-27,868890,1582423,9540897,57602,32626,4042571
2019-10-28,159951,1154089,8507968,68308,44378,5701949
2019-10-29,226362,1153039,8529920,66831,43889,5540039
2019-10-30,389963,1303374,8548050,66933,42511,5299578
2019-10-31,268058,1067549,8648707,68861,40419,4690741
2019-11-01,187405,1105109,9438486,65647,37018,3270621
2019-11-02,611377,962159,9995254,48282,29322,2162753
2019-11-03,1160724,912200,9692105,50147,30146,2577690
2019-11-04,668947,1785922,9048135,70591,33928,4751418
2019-11-05,374370,1080992,8199779,67431,44859,7843777
2019-11-06,433946,1091494,8277854,69526,44405,8885168
2019-11-07,360909,1318593,8583917,66595,43642,8956614
2019-11-08,211936,1074662,9545943,61730,40453,5492945
2019-11-09,1076859,1011394,10374148,51922,31354,3911078
2019-11-10,1157980,1692823,9580987,54614,33608,7275852
2019-11-11,206939,1161958,8281376,66988,45687,10551319
2019-11-12,135778,1148930,8348737,66790,45994,10957053
2019-11-13,153322,1171035,8413341,132799,44416,10886853
2019-11-14,202099,1143417,8606521,154778,43797,10179908
2019-11-15,298922,1084230,9487717,65774,39658,5915314
2019-11-16,411210,957710,10244091,51399,30898,3920845
2019-11-17,406487,1046297,9542947,55831,32624,7119467
2019-11-18,177962,1162533,8434061,73013,45587,10049024
2019-11-19,245929,1279431,8415816,79203,43286,10115100
2019-11-20,220149,1242177,8386749,80221,42510,9903745
2019-11-21,114795,1723601,8498776,73545,40858,9220581
2019-11-22,264081,1731997,9520264,63631,37271,5693601
2019-11-23,656699,1282463,10271141,55685,28761,3929973
2019-11-24,717318,2996181,9655484,58406,30316,7058533
2019-11-25,166858,1162835,8314721,69762,42713,10645413
2019-11-26,376864,1166656,8285373,71940,43265,10862716
2019-11-27,475656,1208820,8376952,74027,42122,10827840
2019-11-28,445514,1174698,8548090,77248,40765,10118325
2019-11-29,1362182,1130208,9582281,67678,38474,6082216
2019-11-30,1963938,1076646,10382169,55793,29947,4262246
2019-12-01,1193735,1450766,9516427,59252,31026,7452996
2019-12-02,366705,1271114,8344446,75322,41518,10974725
2019-12-03,177064,1487413,8411055,77454,40677,10978274
2019-12-04,289351,1389020,8588299,76235,38851,10598977
2019-12-05,197753,1282136,8764521,80226,38466,10028786
2019-12-06,311733,1234106,9724179,72994,35509,6207033
2019-12-07,687122,1185296,10511385,58498,27309,4272321
2019-12-08,967912,1160960,9711573,67008,30028,7631320
2019-12-09,228778,1281184,8601829,89376,39632,11146403
2019-12-10,459882,1300474,8682532,84109,38775,11274973
2019-12-11,396888,1278551,8695184,80086,37758,11179304
2019-12-12,336126,1306901,8796983,80331,34538,10532147
2019-12-13,196016,1244333,9731877,75715,32846,6724592
2019-12-14,418954,1065273,10467168,60777,25364,4335290
2019-12-15,772534,1154789,9676976,69983,27422,7797634
2019-12-16,188988,1305071,8537291,89535,36476,11658741
2019-12-17,164463,1386670,8611778,86076,36157,11743160
2019-12-18,296156,1376688,8693299,97915,34469,11630331
2019-12-19,160548,1685704,8805424,112684,32214,10946105
2019-12-20,133281,1469095,9756164,77378,29536,6769842
2019-12-21,343914,1178298,10450684,63794,24077,4036273
2019-12-22,345990,1502664,9738868,68096,26420,7053457
2019-12-23,143253,1442032,8850735,84697,34128,10426828
2019-12-24,96258,1608525,8999225,80314,32360,9425228
2019-12-25,107835,1700887,9232040,77343,30836,7616531
2019-12-26,276672,1619269,9598165,77071,29888,5212675
2019-12-27,193864,1741622,10585459,70506,28177,2676721
2019-12-28,353713,1330227,10910517,58049,23185,1422146
2019-12-29,1089324,1409100,10215020,54909,23011,1284402
2019-12-30,274666,2390876,9921769,64360,24760,1182342
2019-12-31,251240,5486382,11219981,52434,14859,575766
2020-01-01,308348,1833429,12102173,63439,21036,677913
2020-01-02,301720,933955,9395675,68685,30685,1043246
2020-01-03,229076,842182,8463241,82274,30405,1282096
2020-01-04,636800,835393,8147394,106254,31240,1355395
2020-01-05,938715,918662,8155756,125834,30293,1492603
2020-01-06,417434,2525495,8500100,137407,30222,1649839
2020-01-07,161957,2386627,9231402,132576,30882,1855795
2020-01-08,163852,897785,8205119,196027,36733,2934175
2020-01-09,178874,1023275,8043768,141666,48402,4528949
